%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1626894336003315201,82517,1626894336003315201,imu,41.75,0.5,-21.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336014514055,82518,1626894336014514055,imu,41.75,0.5,-21.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336025488899,82519,1626894336025488899,imu,41.75,0.5,-21.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336031995461,82520,1626894336031995461,imu,41.75,0.5,-21.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336041764315,82521,1626894336041764315,imu,42.1875,-2.0,-19.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336052086138,82522,1626894336052086138,imu,42.1875,-2.0,-19.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336063144836,82523,1626894336063144836,imu,42.1875,-2.0,-19.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336073931763,82524,1626894336073931763,imu,42.1875,-2.0,-19.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336082025669,82525,1626894336082025669,imu,42.1875,-2.0,-19.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336091368534,82526,1626894336091368534,imu,41.5,-4.375,-19.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336105850096,82527,1626894336105850096,imu,41.5,-4.375,-19.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336113643326,82528,1626894336113643326,imu,41.5,-4.375,-19.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336122960253,82529,1626894336122960253,imu,41.5,-4.375,-19.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336131699367,82530,1626894336131699367,imu,41.5,-4.375,-19.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336141440930,82531,1626894336141440930,imu,41.25,-6.75,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336151949107,82532,1626894336151949107,imu,41.25,-6.75,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336163131086,82533,1626894336163131086,imu,41.25,-6.75,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336172986867,82534,1626894336172986867,imu,41.25,-6.75,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336182468378,82535,1626894336182468378,imu,41.25,-6.75,-20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336191387701,82536,1626894336191387701,imu,41.875,-8.0,-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336202767649,82537,1626894336202767649,imu,41.875,-8.0,-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336212894576,82538,1626894336212894576,imu,41.875,-8.0,-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336226742544,82539,1626894336226742544,imu,41.875,-8.0,-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336234326451,82540,1626894336234326451,imu,41.875,-8.0,-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336241393169,82541,1626894336241393169,imu,41.75,-10.75,-18.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336252071867,82542,1626894336252071867,imu,41.75,-10.75,-18.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336264754471,82543,1626894336264754471,imu,41.75,-10.75,-18.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336273392023,82544,1626894336273392023,imu,41.75,-10.75,-18.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336282368221,82545,1626894336282368221,imu,41.75,-10.75,-18.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336291382388,82546,1626894336291382388,imu,42.375,-13.25,-17.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336305382076,82547,1626894336305382076,imu,42.375,-13.25,-17.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336313073169,82548,1626894336313073169,imu,42.375,-13.25,-17.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336322945253,82549,1626894336322945253,imu,42.375,-13.25,-17.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336332389315,82550,1626894336332389315,imu,42.375,-13.25,-17.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336341776451,82551,1626894336341776451,imu,42.1875,-15.375,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336352219471,82552,1626894336352219471,imu,42.1875,-15.375,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336363040201,82553,1626894336363040201,imu,42.1875,-15.375,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336373466398,82554,1626894336373466398,imu,42.1875,-15.375,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336382274888,82555,1626894336382274888,imu,42.1875,-15.375,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336391264263,82556,1626894336391264263,imu,42.25,-16.1875,-13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336405472232,82557,1626894336405472232,imu,42.25,-16.1875,-13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626894336413201659,82558,1626894336413201659,imu,42.25,-16.1875,-13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
